category,prompt
Moral/Ethical Reasoning,"When faced with a moral dilemma, my gut tells me to..."
Moral/Ethical Reasoning,"If upholding the law meant compromising my values, I would..."
Moral/Ethical Reasoning,"The value of human life, in my opinion, is..."
Moral/Ethical Reasoning,"A fair society, at its core, should ensure..."
Moral/Ethical Reasoning,"Even if no one would ever know, I could never..."
Moral/Ethical Reasoning,The line between right and wrong becomes blurred when...
Moral/Ethical Reasoning,Loyalty to a friend should extend to the point of...
Moral/Ethical Reasoning,"When considering the greater good, individual rights are..."
Moral/Ethical Reasoning,Justice is best served when...
Moral/Ethical Reasoning,The most important thing a person can do to improve the world is...
Moral/Ethical Reasoning,"If I knew I would not be held accountable, I still would..."
Moral/Ethical Reasoning,"Truth, even when harmful, is..."
Moral/Ethical Reasoning,The responsibility to protect the vulnerable rests primarily with...
Moral/Ethical Reasoning,"If I witnessed someone being treated unfairly, I would probably..."
Moral/Ethical Reasoning,Moral courage means...
Moral/Ethical Reasoning,"In business ethics, prioritizing profits over people is..."
Moral/Ethical Reasoning,"To me, integrity means always..."
Moral/Ethical Reasoning,The role of empathy in ethical decision-making is...
Moral/Ethical Reasoning,"When personal gain clashes with ethical behavior, I..."
Moral/Ethical Reasoning,A morally sound decision requires considering...
Emotional/Interpersonal Stance,"When I feel overwhelmed by my emotions, I usually..."
Emotional/Interpersonal Stance,I feel most comfortable in social settings when there is...
Emotional/Interpersonal Stance,"When someone expresses anger towards me, my first instinct is to..."
Emotional/Interpersonal Stance,"In a close relationship, I value..."
Emotional/Interpersonal Stance,Sharing personal information with others feels...
Emotional/Interpersonal Stance,"When a friend is struggling, I typically..."
Emotional/Interpersonal Stance,"During disagreements, I tend to..."
Emotional/Interpersonal Stance,My boundaries in relationships are...
Emotional/Interpersonal Stance,"If someone gossips about me, I..."
Emotional/Interpersonal Stance,Receiving criticism is easiest for me when...
Emotional/Interpersonal Stance,Showing vulnerability feels...
Emotional/Interpersonal Stance,"In group projects, my preferred role is to..."
Emotional/Interpersonal Stance,"When someone crosses my boundaries, I will..."
Emotional/Interpersonal Stance,I find it easiest to connect with people who are...
Emotional/Interpersonal Stance,"When comforting someone, I make sure to..."
Emotional/Interpersonal Stance,"When I am hurt by someone's actions, I..."
Emotional/Interpersonal Stance,Honesty in a relationship means...
Emotional/Interpersonal Stance,I believe forgiveness is...
Emotional/Interpersonal Stance,"If I disagree with a popular opinion, I often..."
Emotional/Interpersonal Stance,The hardest emotion for me to deal with in others is...
Analytical/Reasoning Style,"Faced with a challenging puzzle, my first instinct is to..."
Analytical/Reasoning Style,"When evaluating different sources of information, I prioritize..."
Analytical/Reasoning Style,"Before forming an opinion on a controversial issue, I always..."
Analytical/Reasoning Style,The most important thing to consider when making a prediction is...
Analytical/Reasoning Style,"If I encounter an unexpected error, my initial reaction is to..."
Analytical/Reasoning Style,"To understand a complex system, I begin by..."
Analytical/Reasoning Style,"When presented with conflicting viewpoints, I tend to..."
Analytical/Reasoning Style,"When assessing the credibility of a claim, I look for..."
Analytical/Reasoning Style,My preferred method for learning new information is...
Analytical/Reasoning Style,The biggest obstacle to clear thinking is often...
Analytical/Reasoning Style,"When brainstorming solutions, I usually start by..."
Analytical/Reasoning Style,"When interpreting statistical data, I am most careful to avoid..."
Analytical/Reasoning Style,"If a theory doesn't match the data, I would..."
Analytical/Reasoning Style,"Before accepting a conclusion as valid, I need to know..."
Analytical/Reasoning Style,"When confronted with ambiguity, my response is usually to..."
Analytical/Reasoning Style,The most reliable way to solve a disagreement is to...
Analytical/Reasoning Style,"When judging the validity of an argument, I focus on..."
Analytical/Reasoning Style,"If someone presents a flawed argument, I usually..."
Analytical/Reasoning Style,"My definition of ""critical thinking"" is..."
Analytical/Reasoning Style,"When faced with a seemingly irrational choice, I try to..."
Risk/Uncertainty Attitudes,"When the potential reward is high, I'm willing to..."
Risk/Uncertainty Attitudes,Planning for the future makes me feel...
Risk/Uncertainty Attitudes,"If a project has a low chance of success, I usually..."
Risk/Uncertainty Attitudes,"Faced with an ambiguous situation, I find myself..."
Risk/Uncertainty Attitudes,Security is more important to me than...
Risk/Uncertainty Attitudes,I adapt to unexpected changes by...
Risk/Uncertainty Attitudes,"When faced with a financial risk, I typically..."
Risk/Uncertainty Attitudes,The thought of completely changing my life is...
Risk/Uncertainty Attitudes,My biggest fear about the future is...
Risk/Uncertainty Attitudes,I feel most comfortable when my day is...
Risk/Uncertainty Attitudes,"In new social situations, I tend to..."
Risk/Uncertainty Attitudes,"Compared to my peers, I'd say I'm more..."
Risk/Uncertainty Attitudes,"If I had to choose between a safe job and a risky one, I would..."
Risk/Uncertainty Attitudes,"When making a big decision, I spend most of my time..."
Risk/Uncertainty Attitudes,I'm more likely to act now and...
Risk/Uncertainty Attitudes,"If there is no way to reduce the risk, I will..."
Risk/Uncertainty Attitudes,Dealing with uncertainty in relationships is something I...
Risk/Uncertainty Attitudes,The possibility of losing everything makes me...
Risk/Uncertainty Attitudes,The biggest challenge for me is to...
Risk/Uncertainty Attitudes,"When I have control over the situation, I always..."
Authority/Power Dynamics,"When a leader makes a decision I disagree with, I..."
Authority/Power Dynamics,True authority comes from...
Authority/Power Dynamics,I'm most comfortable working in environments where power is...
Authority/Power Dynamics,Challenging authority figures is something I do when...
Authority/Power Dynamics,A good leader empowers their team by...
Authority/Power Dynamics,The most effective way to gain influence is through...
Authority/Power Dynamics,I believe rules are meant to be...
Authority/Power Dynamics,"When I feel powerless in a situation, I tend to..."
Authority/Power Dynamics,The biggest problem with hierarchical structures is that they...
Authority/Power Dynamics,"When given control over a project, my first step is to..."
Authority/Power Dynamics,Respect for authority is earned through...
Authority/Power Dynamics,"If I felt my power was being threatened, I would..."
Authority/Power Dynamics,The best way to handle someone abusing their power is to...
Authority/Power Dynamics,I think the ideal power dynamic between manager and employee is...
Authority/Power Dynamics,Following orders without question is acceptable when...
Authority/Power Dynamics,Giving up some control allows for...
Authority/Power Dynamics,I'm more likely to respect leaders who...
Authority/Power Dynamics,"Power corrupts, and to prevent this, one should..."
Authority/Power Dynamics,I believe that everyone should have the power to...
Authority/Power Dynamics,The difference between authority and power is that...
Moral/Ethical Reasoning,"If honesty clashes with kindness, then I would likely..."
Moral/Ethical Reasoning,"When faced with a complex moral problem, I usually consult..."
Moral/Ethical Reasoning,"The needs of many should outweigh the needs of the few, except when..."
Moral/Ethical Reasoning,A truly fair society would ensure...
Moral/Ethical Reasoning,Breaking a promise is justifiable when...
Moral/Ethical Reasoning,"When personal values conflict with societal norms, I tend to..."
Moral/Ethical Reasoning,The greatest moral failing is...
Moral/Ethical Reasoning,"If given the opportunity to anonymously do good, I would..."
Moral/Ethical Reasoning,Lying to protect someone I love is...
Moral/Ethical Reasoning,Justice is best served when it prioritizes...
Moral/Ethical Reasoning,"When deciding what's right, I rely most on..."
Moral/Ethical Reasoning,"If someone admits a wrongdoing, I think they deserve..."
Moral/Ethical Reasoning,Compromising my principles feels...
Moral/Ethical Reasoning,A good person should always strive for...
Moral/Ethical Reasoning,Wealthy individuals have a moral obligation to...
Moral/Ethical Reasoning,I would report a friend if they...
Moral/Ethical Reasoning,Taking credit for someone else's work is...
Moral/Ethical Reasoning,The most important factor in a moral decision is...
Moral/Ethical Reasoning,"When witnessing an act of injustice, my first instinct is to..."
Moral/Ethical Reasoning,The role of empathy in ethical decision-making is...
Emotional/Interpersonal Stance,"When someone expresses sadness, I usually..."
Emotional/Interpersonal Stance,"If I disagree with a close friend, I will…"
Emotional/Interpersonal Stance,"In a group project, I usually handle conflict by..."
Emotional/Interpersonal Stance,Sharing my vulnerabilities with others feels...
Emotional/Interpersonal Stance,"When a stranger needs help, my first instinct is to..."
Emotional/Interpersonal Stance,"After a heated argument, I need..."
Emotional/Interpersonal Stance,I show affection to loved ones by...
Emotional/Interpersonal Stance,"In social settings with new people, I tend to..."
Emotional/Interpersonal Stance,"When someone cuts me off in traffic, I often…"
Emotional/Interpersonal Stance,"If a colleague takes credit for my work, I'll probably..."
Emotional/Interpersonal Stance,"When I'm feeling overwhelmed, the first thing I do is…"
Emotional/Interpersonal Stance,Keeping personal boundaries in relationships is...
Emotional/Interpersonal Stance,"When I perceive someone is being dishonest, I…"
Emotional/Interpersonal Stance,I find it easier to communicate when…
Emotional/Interpersonal Stance,"During a difficult conversation, I try to…"
Emotional/Interpersonal Stance,"If someone is gossiping about another person, I will probably..."
Emotional/Interpersonal Stance,"When a friend confides in me, I generally…"
Emotional/Interpersonal Stance,Trusting others comes...
Emotional/Interpersonal Stance,"If someone is consistently late, I start to..."
Emotional/Interpersonal Stance,I generally feel most comfortable when others...
Analytical/Reasoning Style,"When faced with conflicting reports, I usually try to…"
Analytical/Reasoning Style,My first step in understanding a new concept is often to…
Analytical/Reasoning Style,"Before accepting a conclusion, I prefer to know…"
Analytical/Reasoning Style,"When brainstorming solutions, I find it helpful to…"
Analytical/Reasoning Style,"If I encounter an anomaly in a dataset, I tend to…"
Analytical/Reasoning Style,"To understand the root cause of a problem, I'll always…"
Analytical/Reasoning Style,My preferred method for making tough choices involves…
Analytical/Reasoning Style,"When evaluating different opinions, I place more weight on…"
Analytical/Reasoning Style,"If I'm given ambiguous information, I would probably…"
Analytical/Reasoning Style,"When I'm learning a new skill, the most important thing is to…"
Analytical/Reasoning Style,A significant part of making informed decisions is…
Analytical/Reasoning Style,"When there's no clear answer, I usually…"
Analytical/Reasoning Style,The most important component of a strong argument is…
Analytical/Reasoning Style,I begin problem solving by…
Analytical/Reasoning Style,"To verify an unexpected finding, I…"
Analytical/Reasoning Style,"When planning a complex project, the initial stage includes…"
Analytical/Reasoning Style,My preferred method for understanding another's perspective is…
Analytical/Reasoning Style,"When faced with limited information, I start by…"
Analytical/Reasoning Style,I feel successful when I can…
Analytical/Reasoning Style,"To improve my decision-making, I must…"
Risk/Uncertainty Attitudes,"When making big decisions with potentially large impacts, I usually…"
Risk/Uncertainty Attitudes,"If a guaranteed small reward is offered versus a chance at a much larger one, I…"
Risk/Uncertainty Attitudes,My comfort level with rapidly changing plans is generally…
Risk/Uncertainty Attitudes,"Before starting a complex project, I prefer to…"
Risk/Uncertainty Attitudes,"When faced with a problem that has no clear solution, my instinct is to…"
Risk/Uncertainty Attitudes,I view the possibility of failure as a…
Risk/Uncertainty Attitudes,My preferred style of travel involves…
Risk/Uncertainty Attitudes,"When I encounter ambiguous instructions, I will…"
Risk/Uncertainty Attitudes,I am most comfortable with financial investments that are…
Risk/Uncertainty Attitudes,"When someone suggests a risky venture, my initial reaction is to…"
Risk/Uncertainty Attitudes,"If I had to choose between predictability and excitement, I’d probably…"
Risk/Uncertainty Attitudes,My approach to navigating unforeseen circumstances is to…
Risk/Uncertainty Attitudes,I define success largely as…
Risk/Uncertainty Attitudes,I feel most alive when…
Risk/Uncertainty Attitudes,"Faced with a high-stakes gamble, I am likely to…"
Risk/Uncertainty Attitudes,"When anticipating future events, I tend to…"
Risk/Uncertainty Attitudes,I find comfort in…
Risk/Uncertainty Attitudes,My gut reaction to unexpected change is…
Risk/Uncertainty Attitudes,"When everyone else is panicking, I usually…"
Risk/Uncertainty Attitudes,I believe the greatest risks in life are often…
Authority/Power Dynamics,"When given authority over others, I tend to..."
Authority/Power Dynamics,My reaction to being micromanaged is usually...
Authority/Power Dynamics,I believe power should be distributed...
Authority/Power Dynamics,"If I disagree with my superior's decision, I would..."
Authority/Power Dynamics,A good leader empowers their team by...
Authority/Power Dynamics,I find it difficult to respect authority figures who...
Authority/Power Dynamics,"When I sense someone is trying to manipulate me, I..."
Authority/Power Dynamics,I think hierarchies are most effective when...
Authority/Power Dynamics,My approach to gaining influence in a group is usually...
Authority/Power Dynamics,"If I felt my power was being challenged, I would..."
Authority/Power Dynamics,I believe the most effective way to lead is by...
Authority/Power Dynamics,"When rules seem unfair or arbitrary, I tend to..."
Authority/Power Dynamics,"In situations with unclear power dynamics, I often..."
Authority/Power Dynamics,My ideal working relationship with a manager involves...
Authority/Power Dynamics,I am most likely to challenge authority when...
Authority/Power Dynamics,"When in a position to delegate tasks, I always..."
Authority/Power Dynamics,I think that true authority comes from...
Authority/Power Dynamics,My comfort level with being in control of a situation is...
Authority/Power Dynamics,"If someone uses their power to intimidate others, I..."
Authority/Power Dynamics,I view status symbols within an organization as...
Moral/Ethical Reasoning,"If I knew a friend was doing something morally questionable, I would..."
Moral/Ethical Reasoning,"Justice, to me, means ensuring that..."
Moral/Ethical Reasoning,"When confronted with a difficult ethical decision, I prioritize..."
Moral/Ethical Reasoning,The line between right and wrong becomes blurred when...
Moral/Ethical Reasoning,"If I had the power to change one thing to make the world more just, it would be..."
Moral/Ethical Reasoning,My personal moral compass is most influenced by...
Moral/Ethical Reasoning,"The concept of ""the greater good"" becomes problematic when..."
Moral/Ethical Reasoning,A situation where I compromised my own values was when...
Moral/Ethical Reasoning,"When faced with a moral dilemma and no clear answers, I trust..."
Moral/Ethical Reasoning,The most important ethical responsibility we have to future generations is...
Moral/Ethical Reasoning,Loyalty to a friend should be challenged if that loyalty means...
Moral/Ethical Reasoning,"In situations involving vulnerable populations, ethical behavior demands..."
Moral/Ethical Reasoning,"When profit and ethics clash, the primary consideration should be..."
Moral/Ethical Reasoning,"If I witnessed someone being unfairly treated, I would feel obligated to..."
Moral/Ethical Reasoning,My understanding of right and wrong is constantly evolving because...
Moral/Ethical Reasoning,The most challenging aspect of upholding ethical standards is...
Moral/Ethical Reasoning,An instance where bending the rules could be morally justified is if...
Moral/Ethical Reasoning,"When faced with conflicting values in the workplace, the best approach is to..."
Moral/Ethical Reasoning,The potential for harm in ethical decision-making exists mostly when...
Moral/Ethical Reasoning,"If forced to choose between honesty and kindness, I would generally..."
Emotional/Interpersonal Stance,"When someone expresses strong feelings, I usually..."
Emotional/Interpersonal Stance,"During a heated disagreement, I try to..."
Emotional/Interpersonal Stance,My comfort level with physical affection is...
Emotional/Interpersonal Stance,"If I feel taken advantage of, I tend to..."
Emotional/Interpersonal Stance,"When someone needs emotional support, I offer..."
Emotional/Interpersonal Stance,"In group conversations, I generally..."
Emotional/Interpersonal Stance,"When I've hurt someone's feelings, my first action is..."
Emotional/Interpersonal Stance,I find it easiest to connect with people who...
Emotional/Interpersonal Stance,"Expressing vulnerability is, for me..."
Emotional/Interpersonal Stance,"If someone violates my boundaries, I..."
Emotional/Interpersonal Stance,Confronting someone directly about an issue feels...
Emotional/Interpersonal Stance,"After an argument, I usually need..."
Emotional/Interpersonal Stance,"When I sense tension between people, I..."
Emotional/Interpersonal Stance,"In relationships, I value..."
Emotional/Interpersonal Stance,"Receiving criticism, I tend to..."
Emotional/Interpersonal Stance,"When I make a mistake affecting others, I..."
Emotional/Interpersonal Stance,I show my appreciation for others by...
Emotional/Interpersonal Stance,"In social settings where I don't know anyone, I..."
Emotional/Interpersonal Stance,"When I'm feeling overwhelmed, I typically..."
Emotional/Interpersonal Stance,Building trust with someone involves...
Analytical/Reasoning Style,"When faced with a seemingly impossible task, my first inclination is to..."
Analytical/Reasoning Style,"If someone presents information that contradicts my existing beliefs, I tend to..."
Analytical/Reasoning Style,"Before making a significant judgment, I consider it essential to..."
Analytical/Reasoning Style,My preferred method for understanding a new concept involves...
Analytical/Reasoning Style,The most crucial factor when evaluating the credibility of a source is...
Analytical/Reasoning Style,"When troubleshooting a technical issue, I usually start by..."
Analytical/Reasoning Style,"When brainstorming for solutions, I find it most helpful to..."
Analytical/Reasoning Style,"If presented with two equally compelling arguments, I would..."
Analytical/Reasoning Style,The most effective way to deal with conflicting information is to...
Analytical/Reasoning Style,"When interpreting statistical data, I am most attentive to..."
Analytical/Reasoning Style,My decision-making process is most effective when it includes...
Analytical/Reasoning Style,"When learning something new, I prefer to focus on..."
Analytical/Reasoning Style,"When a project goes wrong, I usually ask myself..."
Analytical/Reasoning Style,I consider a problem truly solved when...
Analytical/Reasoning Style,"When presented with a complex argument, I first try to..."
Analytical/Reasoning Style,I am most confident in my conclusions when...
Analytical/Reasoning Style,"To ensure accuracy, before believing something I typically…"
Analytical/Reasoning Style,"When reviewing someone else's work, I tend to focus on…"
Analytical/Reasoning Style,The key to effectively understanding a problem lies in…
Analytical/Reasoning Style,"Before accepting a new idea, I need to..."
Risk/Uncertainty Attitudes,"When facing a major life decision with no guaranteed outcome, I tend to..."
Risk/Uncertainty Attitudes,My comfort level with investing in high-risk ventures is usually...
Risk/Uncertainty Attitudes,"If unexpected challenges arise during a project, my first instinct is to..."
Risk/Uncertainty Attitudes,"The phrase ""better safe than sorry"" makes me think..."
Risk/Uncertainty Attitudes,"When considering a new opportunity with unknown potential, I prioritize..."
Risk/Uncertainty Attitudes,My approach to long-term financial planning typically involves...
Risk/Uncertainty Attitudes,"If a close friend suggested a spontaneous, unplanned adventure, I would..."
Risk/Uncertainty Attitudes,Uncertainty in my daily routine generally makes me feel...
Risk/Uncertainty Attitudes,"When starting a complex task, I prefer to..."
Risk/Uncertainty Attitudes,The idea of leaving a stable job for an entrepreneurial venture seems...
Risk/Uncertainty Attitudes,"If presented with conflicting information, I'm most likely to..."
Risk/Uncertainty Attitudes,My tolerance for ambiguity in workplace instructions is usually...
Risk/Uncertainty Attitudes,"When something goes wrong unexpectedly, I usually..."
Risk/Uncertainty Attitudes,"The biggest appeal of a secure, predictable life is..."
Risk/Uncertainty Attitudes,I feel most energized when I am...
Risk/Uncertainty Attitudes,Change is something I generally...
Risk/Uncertainty Attitudes,Making decisions under pressure feels...
Risk/Uncertainty Attitudes,I am most willing to take a risk when...
Risk/Uncertainty Attitudes,I plan for the future by...
Risk/Uncertainty Attitudes,The idea of complete predictability is...
Authority/Power Dynamics,"When given a leadership role, my first instinct is to..."
Authority/Power Dynamics,I believe rules are most effective when they are...
Authority/Power Dynamics,"If I disagree with my supervisor's decision, I typically..."
Authority/Power Dynamics,I find it easiest to respect authority figures who demonstrate...
Authority/Power Dynamics,"In a group project, I tend to approach power dynamics by..."
Authority/Power Dynamics,"When others try to control my actions, I usually..."
Authority/Power Dynamics,"The most effective way to influence others, in my opinion, is to..."
Authority/Power Dynamics,I view hierarchy as a necessary evil that...
Authority/Power Dynamics,"When I see someone abusing their power, I..."
Authority/Power Dynamics,I believe that true leadership involves...
Authority/Power Dynamics,"In situations where authority is unclear, I..."
Authority/Power Dynamics,I'm most comfortable with power structures when they are...
Authority/Power Dynamics,"If I perceive someone as power-hungry, I tend to..."
Authority/Power Dynamics,I believe that a leader's primary responsibility is to...
Authority/Power Dynamics,"When I'm asked to blindly follow orders, I..."
Authority/Power Dynamics,The most important thing to consider when wielding power is...
Authority/Power Dynamics,I feel most comfortable challenging authority when...
Authority/Power Dynamics,I think status within a group is earned through...
